Adam	n. 亚当
absolute	adj. 无条件的；不受限制的|adj. 完美的；完全体现某种性质的|adj. 彻底的；完全的|n. 绝对事物；绝对原则|adj. 纯的；未掺杂的|adj. 确凿的；毫无疑问的|adj. 绝对的；非相对的|adj. 独立表现单一艺术形式的|n. 绝对；无条件的存在|adj. 确信的|adj. 绝对的；不以单位或参照物为条件的|adj. 独立结构的
absolutely	adv. 完全地；绝对地|adv. 非常；极其|intj. 当然；完全同意|adv. 独立地；不考虑其他因素地
absolutist	n. 专制主义者, 专制政体者, 绝对主义者
absorb	v. 吞并；使不再独立存在|v. 吸收；吸入|v. 使全神贯注；完全占据注意力|v. 被吸收；渗入|v. 吸收能量|v. 占用时间|v. 理解并内化|v. 把费用算入自身承担|v. 支付；承担开支|v. 大量接收或买进|v. 吞没；淹没
absorption	n. 吸收；吸纳|n. 吸收光、热或电等|n. 全神贯注；专心投入|n. 精神上的吸收；领会|n. 吸收；吸纳（旧用法）|n. 介质对电能的短暂保留
abstract	adj. 抽象的；概念性的|n. 摘要；概要|adj. 难以理解的；晦涩的|adj. 一般性的；非特指的|adj. 抽象艺术的|adj. 抽象艺术或音乐的|n. 抽象概念|n. 抽象的理论；理想化形式|n. 抽象艺术作品|v. 使脱离；抽离|v. 概括；摘述|adj. 抽取出的；提炼的
abstraction	n. 抽取特征；抽象化|n. 概括；归纳|n. 抽象概念；理论观念|n. 抽象出的特征|n. 出神；心不在焉|n. 抽象艺术作品|n. 抽象思维的产物|n. 隐藏实现细节的接口|n. 拿走；抽离|n. 委婉的拿走或挪取|n. 退隐；与外界隔绝|n. 抽象类别中的成员
abstractly	adv. 抽象地；理论上地
absurd	adj. 荒谬的；不合常理的|adj. 荒诞的；缺乏意义的|adj. 不和谐的|adj. 荒诞主义的|n. 荒谬之处|n. 荒诞；荒诞处境
abundance	n. 大量；许多|n. 充沛；丰富到过量|n. 财富充裕；富足|n. 丰度；出现数量|n. 一种牌局叫牌|n. 足够；充足
abundant	adj. 丰富的；充足的|adj. 富有的；充满的|adj. 丰 abundant 数
abundantly	adv. 大量地；充分地|adv. 非常地；极其
abuse	n. 不当行为；滥用|n. 辱骂；粗俗言语|n. 虐待；残酷对待|v. 滥用；误用|v. 虐待；残酷伤害|v. 辱骂；侮辱|n. 误用；滥用|v. 滥用药物|n. 欺骗；假象|n. 词语误用|n. 性虐待；强迫性行为|v. 侵犯；强奸
abuzz	a. 嗡嗡的, 嘈杂的
ac	adj. 装有空调的|n. 空调|n. 交流电|phrase 全部清除|adj. 肩锁关节的|n. 访问控制|n. 交流电（非正式）|n. 区号|n. 体育俱乐部|n. 汽车协会|n. 空调|n. 英亩缩写
academia	n. 学术界|n. 学术生涯；学术研究
academic	adj. 学院的；学术的|adj. 理论性的；不实用的|n. 学者；大学教师|adj. 学术型的；偏人文艺术的|adj. 爱学习的；学业能力强的|adj. 遵守传统形式的|adj. 脱离实际的；书呆子气的|n. 学业；学术课程|adj. 柏拉图学派的|n. 柏拉图学派成员|n. 学院成员|n. 大学生
academically	adv. 从学术角度；在学业方面
academy	n. 高等教育机构|n. 专门训练学校|n. 学术界|n. 柏拉图学园|n. 柏拉图学派|n. 学术或艺术团体|n. 领域内的权威观点|n. 英国政府资助学校|n. 学园传授的知识
accelerate	v. 使……加速|v. 加快进程|v. 自己加速|v. 使速度发生变化|v. 使某事提前|v. 加速完成学业|adj. 加快的|v. 增长、增加
acceleration	n. 加速；加快|n. 速度随时间的变化率|n. 加速度数值；速度增加量|n. 提前完成学业进度
accent	n. 重音|n. 重点；强调|n. 口音|v. 强调；突出|n. 重音符号|n. 说话声调；语气|n. 装饰重点；点缀色|v. 用重音读出|v. 加重音符号|n. （非正式且不规范）口音|n. 手语中的发音特征|n. 一句话；有意义的声音
accenture	n. 埃森哲咨询公司
accept	v. 接受并认可|v. 承认属实|v. 同意提议|v. 接纳加入|v. 认为够好|v. 接受不如意的处境|v. 坦然承认现实|v. 正式接收|v. 愿意收下|adj. 已被接受的|n. 被接受的项目|v. 同意付款
acceptable	adj. 可以接受的|adj. 还过得去的|n. 被接受者
acceptance	n. 接受；认可|n. 相信；同意|n. 被接受的状态|n. 一次接受；一项获准|n. 通常含义|n. 票据承兑|n. 合同接受|n. 政府验收；政府认可履约|n. 获准参赛马匹名单|n. 光学中的光通量度量
access	n. 进入的通道|n. 进入或使用的权利|v. 获得进入或使用机会|n. 进入或接近的行动|n. 易于进入或接触|n. 非监护父母的探视权|n. 访问内存中的数据|n. 连接或使用计算机和互联网|v. 访问数据|n. 性交许可|n. 增加；增添|n. 疾病发作
accessibility	n. 易于接近或使用|n. 软件和网页的无障碍性
accessible	adj. 容易到达的|adj. 无障碍的|adj. 容易理解或欣赏的|adj. 平易近人的|adj. 容易接受影响的|adj. 可以获得的|adj. 能够使用或看见的
accessory	adj. 附加的；辅助的|n. 配件；附属物|n. 服饰配饰|adj. 协助犯罪的|n. 从犯；帮凶|adj. 少量附带的|n. 非必要的装饰部分
accident	n. 意外事件|n. 交通事故|adj. 涉事故的|n. 偶然发生的事|n. 偶然性|n. 偶然形成的属性|n. 失禁|n. 意外怀孕|n. 把孩子称作“意外”|n. 不规则地貌|n. 地层断裂或不稳定地层|n. 纹章中的可留可除标记
accident-free	无事故的
accidental	adj. 非本质的；附带的|adj. 偶然的；无意的|n. 非本质因素；偶然事件|adj. 临时变音的|adj. 偶尔发生的|n. 临时变音记号|n. 文本的形式性成分|adj. 四维射影几何中的特殊点|n. 绘画中的偶然光影效果
accidentally	adv. 偶然地；碰巧|adv. 无意中；不是故意地
acclaim	n. 喝彩；赞誉|v. 高度赞扬|v. 以欢呼宣布|n. 主张；要求|v. 喊叫；呼喊|v. 喝彩；热烈欢迎|v. 主张；要求|v. 无竞争者当选
acclimation	n. 服水土, 顺应, 适应环境
accommodate	v. 使适应；使相合|v. 容纳；装得下|v. 调和；使达成一致|v. 为……提供住宿|v. 提供足够空间|v. 满足所需；提供方便|v. 帮忙；为……提供服务|v. 考虑到；顾及|adj. 适合的；相称的|v. 使相合；按情况解释|v. 适应；变得合宜|v. 调节焦距
accommodation	n. 住宿；住处|n. 适应性调整|n. 调整；适应|n. 迁就；照顾性安排|n. 生理适应|n. 迁就性解释；变通|n. 沉积场所|n. 言语调整
accommodations	n. 膳宿；住房, 住宿；居住设施（accommodation的复数）
accompany	v. 陪同；伴随同行|v. 伴随着；为……增添|v. 担任伴奏|v. 为另一件乐器或演奏者伴奏|v. 同时出现|v. 结伴；相交往|v. 同居|v. 与……共存；伴随发生
accomplish	v. 成功完成|v. 实现目标；履行承诺|v. 度过或走完|v. 使充分装备或修养完善|v. 获得|v. 填写表格
accomplishment	n. 完成；实现|n. 成就；成果|n. 才能；修养|n. 成就体
accord	n. 一致；意见相合|n. 自愿；主动意愿|v. 相符；和谐|n. 声音和谐|n. 协调；相称|n. 正式协议|v. 使相配；调和|v. 使达成一致|v. 音调和谐|n. 香气组合|n. 和解协议|v. 授予；准予
accordance	n. 符合；遵照；一致|n. 授予；给予
according	v. accord的-ing形式|adj. 一致的；和谐的|adv. 相应地；照此
according to	prep. 根据消息或权威|prep. 按照规则或标准|prep. 取决于某种情况
accordingly	adv. 相应地；适当地|adv. 因此；于是
account	n. 账目；账单记录|n. 解释；说明|n. 注册账户|v. 说明原因；占据；考虑到|n. 银行账户|n. 缘故；考虑到某人|n. 叙述；记述|n. 收益；好处|v. 认为；把……看作|n. 估计；评价|n. 重要性；价值|n. 清算；旧式说法中的最终结算
accountability	n. 负责并能被追问|n. 公开追责并要求后果|n. 主动认领责任|n. 依法管好财物和记录
accountable	adj. 对行为负责|adj. 对账目或财物负责|adj. 必须作出交代|adj. 可以解释的
accountant	n. 负责账务的专业人员|n. 负责整理和审计记录的会计人员|n. 替人核算事务的人|adj. 负有责任的（旧义）|n. 对账目负责的人|n. 对性工作者的委婉称呼
accounting	n. 会计；财务核算|v. account 的现在分词和动名词|n. 说明；交代|n. 返还不当所得的法律清算
accrue	v. 逐渐产生利益或结果|v. 累积获得|v. 逐渐增加|v. 随时间产生费用|n. 累积的利益|v. 逐渐成为正式权利
accumulate	v. 积累；聚集|v. 逐渐增加|adj. 积累起来的|v. 同时取得不同层次的学位
accumulation	n. 积累；聚集|n. 逐渐增多；积成大堆|n. 积存物；堆积物|n. 资本积累；利息或储蓄增长|n. 低价吸纳资产|n. 同一证明的多重法律依据|n. 同时修读两个高等学位
accuracy	n. 正确性；无误程度|n. 与真实值或标准的符合度
accurate	adj. 准确的；精确的|adj. 偏差很小的；说得准的|adj. 细致严谨的（过时）
accurately	adv. 准确地；精确地
accusation	n. 指责行为|n. 正式控罪|n. 未经证实的指控
accuse	v. 指责；归咎|v. 指控犯罪或违法|v. 提出指责；指控某人|n. 指责；控告
accustom	vt. 使习惯于
accustomed	adj. 习惯于；适应了|adj. 惯常的；一向如此的|adj. 常有顾客光顾的
ace	adj. 极好的；很棒的|n. A牌；一点牌|n. 高手；能人|v. 完美通过|n. 骰子的一点|n. 台球一号球|n. 发球直接得分|n. 一击得分|n. 王牌投手|n. 一杆进洞|n. 王牌飞行员|n. 考试满分
ache	n. 隐痛；持续疼痛|v. 持续疼痛；感到隐痛|n. 欧芹（旧词）|n. H的罕见名称拼写|n. 乙酰胆碱酯酶缩写|v. 使……疼痛
achievable	adj. 可实现的；做得到的|adj. 可由自身行动达成的
achieve	v. 取得成功；表现出色|v. 成功完成；做到|v. 获得；实现（目标或成果）|v. 完成；结束|v. 结束；结果是|v. 取得（具体物品）
achievement	n. 成就；成果|n. 英勇功绩；壮举|n. 游戏成就|n. 目标达成；群体成就|n. 纹章图案；纹章全套图饰|n. 瞬时完成类
achiever	n. 获得成功的人
acid	adj. 酸的；有酸味的|adj. 酸性的；与酸有关的|n. 酸；有酸味的物质|adj. 尖刻的；刻薄的|adj. 酸性音乐风格的|n. 能在水中产生氢离子的化合物|n. 能向碱提供质子的化合物|n. 能接受电子对的化合物|n. 腐蚀性物质|n. LSD；迷幻药|n. 数据库事务的 ACID 特性
acknowledge	v. 承认事实|v. 认可身份或地位|v. 对帮助表示感谢|v. 确认收到信息|v. 以法律形式确认
acknowledgement	n. 承认, 确认, 感谢, 收到的通知
acquaint	vt. 使认识, 介绍
acquaintance	n. 认识；熟悉|n. 熟人|n. 熟人圈|n. 对某事的了解
acquire	v. 取得；得到|v. 获得；养成|v. 患上；感染|v. 采集并数字化|v. 锁定目标
acquisition	n. 获得；取得的过程|n. 获得的东西；所得|n. 信号采集
acquisitive	a. 渴望获得的, 贪婪的
acre	n. 英美制面积单位|n. 其他体系中的类似面积单位|n. 大片空间|n. 大量|n. 历史或地方面积单位|n. 田地|n. 英亩的长宽尺度|n. 边境决斗
acreage	n. 英亩数；土地面积大小|n. 按英亩计算的一片土地
acrobat	n. 表演特技者, 杂技演员
across	adv. 到另一边|prep. 穿过，到另一边|prep. 在……对面|adv. 在另一边|adv. 朝另一侧伸去|prep. 横穿、划过|prep. 到空间的另一端|prep. 横跨，贯穿|prep. 遍及各处|prep. 横放在……上，横跨|prep. 掌握最新情况|adv. 横向地
across-the-board	adj. 全面的；普遍适用的|adj. 固定时段播出的
acrylamide	n. [有化] 丙烯酰胺
act	n. 美国大学入学考试|n. 行为；所做的事|n. 戏剧的一幕|v. 执行；做成|adv. 实际上；确实|n. 接受与承诺疗法|n. 议会法案的简称|n. 法案；成文法|n. 法案；议案|n. 行动过程；做某事|n. 演出者；节目|n. 有组织的活动
acting	adj. 代理的；代行职务的|n. 装腔作势；装出来的样子|n. 表演；演艺职业|n. 法律上的行为|v. act 的现在分词或动名词|n. 行为；所作之事
action	n. 行动；做某事|n. 所做的事；行动|intj. 开始！开拍！|n. 动作方式；运转方式|n. 紧张刺激的场面|n. 机械装置的运作方式|n. 战斗；参战经历|n. 法律诉讼|n. 故事情节；事件展开|v. 执行；落实|adj. 傲慢的|n. 键盘乐器的击弦机构
activate	v. 使活跃；带动发展|v. 启动；触发|v. 激活；解锁软件许可|v. 组建军事单位|v. 让受伤球员复出|v. 使更具反应性|v. 使分子发挥作用|v. 使具有放射性|v. 加快化学反应|v. 通气以促进分解
active	adj. 主动发挥作用的|adj. 正在生效或运作的|adj. 积极忙碌的|adj. 动作敏捷的|adj. 正在活动的（自然现象）|adj. 需要实际行动的|adj. 重行动、重实践的|adj. 旺盛而活跃的|adj. 会迅速发展的|adj. 主动语态的|adj. 主动的；非被动的|n. 行动者；积极参与者
actively	adv. 积极主动地|adv. 以主动形式
activist	n. 政治或社会活动人士|adj. 积极介入、主动推动改变的|n. 职业上特别积极投入的人
activity	n. 活跃；活动量|n. 一项行动；所做的事|n. 休闲活动；娱乐活动|n. 活动体：无终点的持续动作类型|n. 放射性活度|n. 反应活性
actor	n. 演员|n. 行动者；执行者；参与者|n. 动作施事者|n. 用例中的角色实体|n. 起诉人；控告人|n. 代理人；监护人|n. 民事法庭代理人
actress	n. 女演员|n. 参与者；扮演角色的人
actual	adj. 实际存在的；确实发生的|adj. 正是实际的；确切的；非常|adj. 与实际行动有关的|adj. 当时存在的；现行的|n. 真实的事物；实际的那个|n. 现实；事实本身
actually	adv. 实际上；确实|adv. 积极地；主动地|adv. 当时；在当时|intj. 确实；对
acute	adj. 敏锐而强烈的|adj. 迫切的|adj. 锐角的|adj. 短暂而迅速的|adj. 尖而高的|adj. 锐角三角形的|adj. 突然发作的|adj. 短期的；急性的|n. 急性病症患者|n. 尖音符|adj. 尖端的|adj. 较高音调的
acutely	adv. 敏锐而强烈地
ad	adv. 公元|n. 广告|n. 副导演|n. 阿尔茨海默病|n. 音频描述|n. 深夜后|n. 广告业；广告活动|n. 优势分；优势一侧|adj. 反倾销的|n. 防空|n. 抗抑郁药|n. 辅助驱逐舰
adapt	v. 使适合；使相配|v. 改造；调整用途|v. 适应；适应新环境|v. 改编；改写|adj. 合适的；适用的
adaptability	n. 适应能力|n. 生物适应环境的能力
adaptable	adj. 适应性强的；可调整的
adaptation	n. 适应或调整的过程|n. 具体的调整或改变|n. 改编的过程|n. 生物适应环境的过程|n. 改编作品|n. 生物的适应性特征|n. 社会群体的适应方式
adaptive	adj. 适应性的；会随情况调整的|adj. 能够适应的|adj. 有助于适应社会的
adaptiveness	n. 适应性, 适应能力（adaptive名词形式）
add	n. 一次添加或相加|v. 把……加到……中|v. 把数字加起来|v. 补充说|n. 播放列表中的新增歌曲|n. 战斗中后来加入的敌人|n. 注意缺陷障碍|v. 合并成一个数量|v. 增加影响或程度|v. 进行加法运算|v. 召来额外敌人|v. 加某人为好友
addict	n. 成瘾者|n. 狂热爱好者|v. 使沉溺；使上瘾|adj. 沉溺的；上瘾的|adj. 受约束的；被绑定的|v. 依法交付|v. 献身于|v. 使受其服务约束|v. 献身或效忠|v. 专心投入
addicted	adj. 成瘾的|adj. 沉迷的；着迷的
addiction	n. 成瘾状态|n. 沉迷；强烈偏爱|n. 有害且难戒的习惯|n. 病理性依赖
